ID;Active (0/1);Name;Default Category;Price tax excl.;Tax rules ID;On sale (0/1);Reference #;Show price;url_image;
"95";"1";"Par Discos Acero Olímpicos 15Kg";"18";"32756.302521";"53";"0";"DOA15";"1";"https://pesaschile.cl/2/img/p/3/5/1/351-thickbox_default.jpg";
"95";"1";"Par Discos Acero Olímpicos 15Kg";"18";"32756.302521";"53";"0";"DOA15";"1";"https://pesaschile.cl/2/img/p/6/3/5/635-thickbox_default.jpg";
"96";"1";"Par Discos Acero Olímpicos 20Kg";"18";"43680.672269";"53";"0";"DOA20";"1";"https://pesaschile.cl/2/img/p/1/1/2/6/1126-thickbox_default.jpg";
"97";"1";"Par Discos Engomados 1,25kg";"2";"3352.941176";"53";"0";"DOE0125";"1";"https://pesaschile.cl/2/img/p/5/9/2/592-thickbox_default.jpg";
"98";"1";"Par Discos Engomados 2,5kg";"2";"6714.285714";"53";"0";"DOE025";"1";"https://pesaschile.cl/2/img/p/5/9/3/593-thickbox_default.jpg";
"99";"1";"Par Discos Engomados 5kg";"2";"13428.571429";"53";"0";"DOE05";"1";"https://pesaschile.cl/2/img/p/5/9/4/594-thickbox_default.jpg";
"100";"1";"Par Discos Engomados 10kg";"2";"26873.949580";"53";"0";"DOE10";"1";"https://pesaschile.cl/2/img/p/5/9/5/595-thickbox_default.jpg";
"101";"1";"Par Discos Engomados 15kg";"2";"40319.327731";"53";"0";"DOE15";"1";"https://pesaschile.cl/2/img/p/5/9/6/596-thickbox_default.jpg";
"102";"1";"Par Discos Engomados 20kg";"2";"53764.705882";"53";"0";"DOE20";"1";"https://pesaschile.cl/2/img/p/7/7/5/775-thickbox_default.jpg";
"103";"1";"Kettlebell Vinilo 16Kg";"15";"20159.663866";"53";"0";"KV16";"1";"https://pesaschile.cl/2/img/p/1/7/5/175-thickbox_default.jpg";
"104";"1";"Kettlebell Vinilo 8Kg";"15";"8731.092437";"53";"0";"KV08";"1";"https://pesaschile.cl/2/img/p/1/1/3/6/1136-thickbox_default.jpg";
"104";"1";"Kettlebell Vinilo 8Kg";"15";"8731.092437";"53";"0";"KV08";"1";"https://pesaschile.cl/2/img/p/1/2/6/0/1260-thickbox_default.jpg";
"105";"1";"Kettlebell Vinilo 20Kg";"15";"25201.680672";"53";"0";"KV20";"1";"https://pesaschile.cl/2/img/p/1/7/7/177-thickbox_default.jpg";
"106";"1";"Kettlebell Vinilo 6Kg";"15";"7554.621849";"53";"0";"KV06";"1";"https://pesaschile.cl/2/img/p/1/1/3/5/1135-thickbox_default.jpg";
"106";"1";"Kettlebell Vinilo 6Kg";"15";"7554.621849";"53";"0";"KV06";"1";"https://pesaschile.cl/2/img/p/1/2/5/9/1259-thickbox_default.jpg";
"108";"1";"Kettlebell Vinilo 12Kg";"15";"13100.840336";"53";"0";"KV12";"1";"https://pesaschile.cl/2/img/p/1/1/3/8/1138-thickbox_default.jpg";
"108";"1";"Kettlebell Vinilo 12Kg";"15";"13100.840336";"53";"0";"KV12";"1";"https://pesaschile.cl/2/img/p/1/2/6/2/1262-thickbox_default.jpg";
"110";"1";"Kettlebell Acero 20Kg";"15";"31092.436975";"53";"0";"KA20";"1";"https://pesaschile.cl/2/img/p/1/8/2/182-thickbox_default.jpg";
"114";"1";"Kettlebell Vinilo 4Kg";"15";"4361.344538";"53";"0";"KV04";"1";"https://pesaschile.cl/2/img/p/1/8/6/186-thickbox_default.jpg";
"114";"1";"Kettlebell Vinilo 4Kg";"15";"4361.344538";"53";"0";"KV04";"1";"https://pesaschile.cl/2/img/p/1/2/5/8/1258-thickbox_default.jpg";
"115";"1";"Kettlebell Vinilo 10Kg";"15";"12596.638656";"53";"0";"KV10";"1";"https://pesaschile.cl/2/img/p/1/1/3/7/1137-thickbox_default.jpg";
"115";"1";"Kettlebell Vinilo 10Kg";"15";"12596.638656";"53";"0";"KV10";"1";"https://pesaschile.cl/2/img/p/1/2/6/1/1261-thickbox_default.jpg";
"117";"1";"Banquillo Abdominales Regulable Promachine";"2";"109235.294118";"53";"0";"MBAR";"1";"https://pesaschile.cl/2/img/p/6/6/7/667-thickbox_default.jpg";
"127";"1";"Balón Pilates 55 cm";"139";"6714.285714";"53";"0";"BP55";"1";"https://pesaschile.cl/2/img/p/1/1/2/0/1120-thickbox_default.jpg";
"128";"1";"Balón Pilates 65 cm";"2";"7554.621849";"53";"0";"BP65";"1";"https://pesaschile.cl/2/img/p/1/1/2/1/1121-thickbox_default.jpg";
"129";"1";"Balón Pilates 75 cm";"33";"8394.957983";"53";"0";"BP75";"1";"https://pesaschile.cl/2/img/p/1/1/2/2/1122-thickbox_default.jpg";
"130";"1";"Expander Tube Básico";"35";"4193.277311";"53";"0";"FIETB";"1";"https://pesaschile.cl/2/img/p/1/3/1/2/1312-thickbox_default.jpg";
"132";"1";"Expander Tube Reforzado";"35";"5873.949580";"53";"0";"FIETR";"1";"https://pesaschile.cl/2/img/p/1/3/1/3/1313-thickbox_default.jpg";
"133";"1";"Rodillera Mac David Protector";"33";"20159.663866";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/1/5/1/9/1519-thickbox_default.jpg";
"135";"1";"Bosu";"35";"42008.403361";"53";"0";"B012";"1";"https://pesaschile.cl/2/img/p/1/7/8/7/1787-thickbox_default.jpg";
"135";"1";"Bosu";"35";"42008.403361";"53";"0";"B012";"1";"https://pesaschile.cl/2/img/p/1/7/8/9/1789-thickbox_default.jpg";
"135";"1";"Bosu";"35";"42008.403361";"53";"0";"B012";"1";"https://pesaschile.cl/2/img/p/1/7/9/0/1790-thickbox_default.jpg";
"136";"1";"Colchoneta";"2";"8394.957983";"53";"0";"FIC";"1";"https://pesaschile.cl/2/img/p/2/1/4/214-thickbox_default.jpg";
"142";"1";"Matt de Yoga";"35";"7554.621849";"53";"0";"FIM";"1";"https://pesaschile.cl/2/img/p/1/2/7/5/1275-thickbox_default.jpg";
"142";"1";"Matt de Yoga";"35";"7554.621849";"53";"0";"FIM";"1";"https://pesaschile.cl/2/img/p/1/2/7/6/1276-thickbox_default.jpg";
"142";"1";"Matt de Yoga";"35";"7554.621849";"53";"0";"FIM";"1";"https://pesaschile.cl/2/img/p/1/2/7/7/1277-thickbox_default.jpg";
"142";"1";"Matt de Yoga";"35";"7554.621849";"53";"0";"FIM";"1";"https://pesaschile.cl/2/img/p/1/2/7/8/1278-thickbox_default.jpg";
