ID;ID_LANG;Active (0/1);Name;Default Category;Price tax excl.;Tax rules ID;Wholesale price;On sale (0/1);Reference #;Quantity;Short description;Description;Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order;Product creation date;Show price;Available online only;Condition;url_image;
"48";"1";"1";"Cuerda de salto con rodamientos";"2";"2512.605042";"53";"0.000000";"0";"CSP";"0";"";"";"";"";"";"cuerda-de-salto-con-rodamientos";"";"";"1";"2014-03-25 23:40:20";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/3/9/1439-thickbox_default.jpg";
"48";"3";"1";"Cuerda de salto con rodamientos";"2";"2512.605042";"53";"0.000000";"0";"CSP";"0";"Cuerda de PVC regulable. Sistema de rodamientos en mango.";"
Cuerda de salto mango con rodamiento
"Hilo" cuerda de PVC&nbsp;
Medidas: 2,75mts.&nbsp;
Grosor 5mm.

&nbsp;";"";"";"";"cuerda-de-salto-con-rodamientos";"";"";"1";"2014-03-25 23:40:20";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/3/7/1437-thickbox_default.jpg";
"48";"3";"1";"Cuerda de salto con rodamientos";"2";"2512.605042";"53";"0.000000";"0";"CSP";"0";"Cuerda de PVC regulable. Sistema de rodamientos en mango.";"
Cuerda de salto mango con rodamiento
"Hilo" cuerda de PVC&nbsp;
Medidas: 2,75mts.&nbsp;
Grosor 5mm.

&nbsp;";"";"";"";"cuerda-de-salto-con-rodamientos";"";"";"1";"2014-03-25 23:40:20";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/3/8/1438-thickbox_default.jpg";
"48";"3";"1";"Cuerda de salto con rodamientos";"2";"2512.605042";"53";"0.000000";"0";"CSP";"0";"Cuerda de PVC regulable. Sistema de rodamientos en mango.";"
Cuerda de salto mango con rodamiento
"Hilo" cuerda de PVC&nbsp;
Medidas: 2,75mts.&nbsp;
Grosor 5mm.

&nbsp;";"";"";"";"cuerda-de-salto-con-rodamientos";"";"";"1";"2014-03-25 23:40:20";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/3/9/1439-thickbox_default.jpg";
"51";"1";"1";"Escalera agilidad";"2";"16798.319328";"53";"0.000000";"0";"FIEC";"0";"";"";"";"";"";"escalera-agilidad";"";"";"1";"2014-03-25 23:53:58";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/1/1/111-thickbox_default.jpg";
"51";"3";"1";"Escalera Agilidad";"2";"16798.319328";"53";"0.000000";"0";"FIEC";"0";"Escalera de agilidad de 8 pelda&ntilde;os.";"- Material tela y pvc de alta durabilidad.- Incluye bolso.- Largo: 3mts aprox.- Excelente calidad.";"";"";"";"escalera-agilidad";"";"";"1";"2014-03-25 23:53:58";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/1/1/111-thickbox_default.jpg";
"54";"1";"1";"Hand Grip Basico Mango goma ";"2";"2092.436975";"53";"0.000000";"0";"HG5";"0";"";"";"";"";"";"hand-grip-basico-mango-goma-";"";"";"1";"2014-03-26 00:29:07";"1";"0";"new";"http://pesaschile.cl/2/img/p/7/6/0/760-thickbox_default.jpg";
"54";"1";"1";"Hand Grip Basico Mango goma ";"2";"2092.436975";"53";"0.000000";"0";"HG5";"0";"";"";"";"";"";"hand-grip-basico-mango-goma-";"";"";"1";"2014-03-26 00:29:07";"1";"0";"new";"http://pesaschile.cl/2/img/p/7/6/1/761-thickbox_default.jpg";
"54";"1";"1";"Hand Grip Basico Mango goma ";"2";"2092.436975";"53";"0.000000";"0";"HG5";"0";"";"";"";"";"";"hand-grip-basico-mango-goma-";"";"";"1";"2014-03-26 00:29:07";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/6/8/1268-thickbox_default.jpg";
"54";"1";"1";"Hand Grip Basico Mango goma ";"2";"2092.436975";"53";"0.000000";"0";"HG5";"0";"";"";"";"";"";"hand-grip-basico-mango-goma-";"";"";"1";"2014-03-26 00:29:07";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/6/9/1269-thickbox_default.jpg";
"54";"3";"1";"Hand Grip Mango Esponja x2 UN";"2";"2092.436975";"53";"0.000000";"0";"HG5";"0";"Hand grip mas adquirido por los clientes, debido a su simpleza y comodidad.";" Mango ultra c&oacute;modo. 2unidades. Super Resistente. Alta durabilidad.";"";"";"";"hand-grip-basico-mango-goma-";"";"";"1";"2014-03-26 00:29:07";"1";"0";"new";"http://pesaschile.cl/2/img/p/7/6/0/760-thickbox_default.jpg";
"54";"3";"1";"Hand Grip Mango Esponja x2 UN";"2";"2092.436975";"53";"0.000000";"0";"HG5";"0";"Hand grip mas adquirido por los clientes, debido a su simpleza y comodidad.";" Mango ultra c&oacute;modo. 2unidades. Super Resistente. Alta durabilidad.";"";"";"";"hand-grip-basico-mango-goma-";"";"";"1";"2014-03-26 00:29:07";"1";"0";"new";"http://pesaschile.cl/2/img/p/7/6/1/761-thickbox_default.jpg";
"54";"3";"1";"Hand Grip Mango Esponja x2 UN";"2";"2092.436975";"53";"0.000000";"0";"HG5";"0";"Hand grip mas adquirido por los clientes, debido a su simpleza y comodidad.";" Mango ultra c&oacute;modo. 2unidades. Super Resistente. Alta durabilidad.";"";"";"";"hand-grip-basico-mango-goma-";"";"";"1";"2014-03-26 00:29:07";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/6/8/1268-thickbox_default.jpg";
"54";"3";"1";"Hand Grip Mango Esponja x2 UN";"2";"2092.436975";"53";"0.000000";"0";"HG5";"0";"Hand grip mas adquirido por los clientes, debido a su simpleza y comodidad.";" Mango ultra c&oacute;modo. 2unidades. Super Resistente. Alta durabilidad.";"";"";"";"hand-grip-basico-mango-goma-";"";"";"1";"2014-03-26 00:29:07";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/6/9/1269-thickbox_default.jpg";
"57";"1";"1";"Iron Gym Xtreme";"2";"13436.974790";"53";"0.000000";"0";"BP200";"0";"";"";"";"";"";"iron-gym-xtreme";"";"";"1";"2014-03-26 00:43:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/2/122-thickbox_default.jpg";
"57";"1";"1";"Iron Gym Xtreme";"2";"13436.974790";"53";"0.000000";"0";"BP200";"0";"";"";"";"";"";"iron-gym-xtreme";"";"";"1";"2014-03-26 00:43:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/3/123-thickbox_default.jpg";
"57";"1";"1";"Iron Gym Xtreme";"2";"13436.974790";"53";"0.000000";"0";"BP200";"0";"";"";"";"";"";"iron-gym-xtreme";"";"";"1";"2014-03-26 00:43:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/4/124-thickbox_default.jpg";
"57";"1";"1";"Iron Gym Xtreme";"2";"13436.974790";"53";"0.000000";"0";"BP200";"0";"";"";"";"";"";"iron-gym-xtreme";"";"";"1";"2014-03-26 00:43:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/6/7/6/676-thickbox_default.jpg";
"57";"1";"1";"Iron Gym Xtreme";"2";"13436.974790";"53";"0.000000";"0";"BP200";"0";"";"";"";"";"";"iron-gym-xtreme";"";"";"1";"2014-03-26 00:43:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/6/7/7/677-thickbox_default.jpg";
"57";"3";"1";"Iron Gym Xtreme Generic";"2";"13436.974790";"53";"0.000000";"0";"BP200";"0";"FOTO SOLO REFERENCIAL
PRODUCTO REPLICA";"Barra multifuncional que se instala en los marcos de puerta, y se usa para realizar variados ejercicios. -Ejercita los m&uacute;sculos de la espalda, abdomen y pectoral. -Agarre de goma antideslizante. -Multiple posiciones de agarre. -F&aacute;cil de instalar.";"";"";"";"iron-gym-xtreme";"";"";"1";"2014-03-26 00:43:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/2/122-thickbox_default.jpg";
"57";"3";"1";"Iron Gym Xtreme Generic";"2";"13436.974790";"53";"0.000000";"0";"BP200";"0";"FOTO SOLO REFERENCIAL
PRODUCTO REPLICA";"Barra multifuncional que se instala en los marcos de puerta, y se usa para realizar variados ejercicios. -Ejercita los m&uacute;sculos de la espalda, abdomen y pectoral. -Agarre de goma antideslizante. -Multiple posiciones de agarre. -F&aacute;cil de instalar.";"";"";"";"iron-gym-xtreme";"";"";"1";"2014-03-26 00:43:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/3/123-thickbox_default.jpg";
"57";"3";"1";"Iron Gym Xtreme Generic";"2";"13436.974790";"53";"0.000000";"0";"BP200";"0";"FOTO SOLO REFERENCIAL
PRODUCTO REPLICA";"Barra multifuncional que se instala en los marcos de puerta, y se usa para realizar variados ejercicios. -Ejercita los m&uacute;sculos de la espalda, abdomen y pectoral. -Agarre de goma antideslizante. -Multiple posiciones de agarre. -F&aacute;cil de instalar.";"";"";"";"iron-gym-xtreme";"";"";"1";"2014-03-26 00:43:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/4/124-thickbox_default.jpg";
"57";"3";"1";"Iron Gym Xtreme Generic";"2";"13436.974790";"53";"0.000000";"0";"BP200";"0";"FOTO SOLO REFERENCIAL
PRODUCTO REPLICA";"Barra multifuncional que se instala en los marcos de puerta, y se usa para realizar variados ejercicios. -Ejercita los m&uacute;sculos de la espalda, abdomen y pectoral. -Agarre de goma antideslizante. -Multiple posiciones de agarre. -F&aacute;cil de instalar.";"";"";"";"iron-gym-xtreme";"";"";"1";"2014-03-26 00:43:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/6/7/6/676-thickbox_default.jpg";
"57";"3";"1";"Iron Gym Xtreme Generic";"2";"13436.974790";"53";"0.000000";"0";"BP200";"0";"FOTO SOLO REFERENCIAL
PRODUCTO REPLICA";"Barra multifuncional que se instala en los marcos de puerta, y se usa para realizar variados ejercicios. -Ejercita los m&uacute;sculos de la espalda, abdomen y pectoral. -Agarre de goma antideslizante. -Multiple posiciones de agarre. -F&aacute;cil de instalar.";"";"";"";"iron-gym-xtreme";"";"";"1";"2014-03-26 00:43:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/6/7/7/677-thickbox_default.jpg";
"60";"1";"1";"Push Up Basic";"2";"5873.949580";"53";"0.000000";"0";"PUP";"0";"";"";"";"";"";"push-up-basic";"";"";"1";"2014-03-26 00:57:56";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/0/3/1403-thickbox_default.jpg";
"60";"1";"1";"Push Up Basic";"2";"5873.949580";"53";"0.000000";"0";"PUP";"0";"";"";"";"";"";"push-up-basic";"";"";"1";"2014-03-26 00:57:56";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/0/4/1404-thickbox_default.jpg";
"60";"3";"1";"Push Up Promachine";"2";"5873.949580";"53";"0.000000";"0";"PUP";"0";"Push up&nbsp;Met&aacute;l y plastico&nbsp;Promachine.";"Push up es una herramienta indispensable para trabajar en casa, hace m&aacute;s eficiente ejercitar el musculo Pectoral y antebrazos. Material:&nbsp;Metal y base pl&aacute;stica.
16cm de Alto.
Valor por par.";"";"";"";"push-up-basic";"";"";"1";"2014-03-26 00:57:56";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/0/3/1403-thickbox_default.jpg";
"60";"3";"1";"Push Up Promachine";"2";"5873.949580";"53";"0.000000";"0";"PUP";"0";"Push up&nbsp;Met&aacute;l y plastico&nbsp;Promachine.";"Push up es una herramienta indispensable para trabajar en casa, hace m&aacute;s eficiente ejercitar el musculo Pectoral y antebrazos. Material:&nbsp;Metal y base pl&aacute;stica.
16cm de Alto.
Valor por par.";"";"";"";"push-up-basic";"";"";"1";"2014-03-26 00:57:56";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/0/4/1404-thickbox_default.jpg";
"61";"1";"1";"Push Up metalico";"2";"8394.957983";"53";"0.000000";"0";"PUM";"0";"";"";"";"";"";"push-up-metalico";"";"";"1";"2014-03-26 00:59:39";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/1/4/1414-thickbox_default.jpg";
