"Product ID";"Imagen";"Nombre";"Referencia";"CategorÃ­a";"Precio (imp. incl.)";"Cantidad";"Estado";"Iva"
"568";"https://pesaschile.cl/clon/2/img/p/1/4/4/3/1443.jpg";"Banco Inclinable / Declinable PROmachine 2.0";"PM057";"Equipamiento";"99990";"95";"0";"1"
"567";"https://pesaschile.cl/clon/2/img/p/1/4/6/4/1464.jpg";"Banco Inclinable / Declinable PROmachine ECO";"PM011";"Equipamiento";"69990";"8";"0";"1"
"566";"https://pesaschile.cl/clon/2/img/p/1/4/4/5/1445.jpg";"Maquina Abdominal / Fondo Pared PROmachine";"PM087";"Productos";"49990";"9";"0";"1"
"565";"https://pesaschile.cl/clon/2/img/p/1/4/6/7/1467.jpg";"Media Jaula Black HWM";"HWM181";"Equipamiento";"139990";"28";"0";"1"
"564";"https://pesaschile.cl/clon/2/img/p/1/4/4/7/1447.jpg";"Pull Up Pared HWM";"HWM011";"Productos";"39990";"39";"0";"1"
"563";"https://pesaschile.cl/clon/2/img/p/1/4/6/5/1465.jpg";"Banco Plano Black HWM";"HWM012";"Equipamiento";"99990";"0";"1";"1"
"562";"https://pesaschile.cl/clon/2/img/p/1/4/6/6/1466.jpg";"Multi EstaciÃ³n Fija HWM";"HWM2811";"Productos";"249990";"8";"0";"1"
"561";"https://pesaschile.cl/clon/2/img/p/1/4/3/2/1432.jpg";"PACK DISCOS PREOLIMPICOS ENGOMADOS";"PDPE";"Pack";"169990";"5";"0";"1"
"560";"https://pesaschile.cl/clon/2/img/p/1/4/3/1/1431.jpg";"PAR DISCO PREOLIMPICO ENGOMADO 20 KG";"DPE20";"Productos";"68000";"5";"0";"1"
"559";"https://pesaschile.cl/clon/2/img/p/1/4/3/0/1430.jpg";"PAR DISCO PREOLIMPICO ENGOMADO 15 KG";"DPE15";"Productos";"51000";"5";"0";"1"
"558";"https://pesaschile.cl/clon/2/img/p/1/4/2/9/1429.jpg";"PAR DISCO PREOLIMPICO ENGOMADO 10 KG";"DPE10";"Productos";"34000";"5";"0";"1"
"557";"https://pesaschile.cl/clon/2/img/p/1/4/2/8/1428.jpg";"PAR DISCO PREOLIMPICO ENGOMADO 5 KG";"DPE05";"Productos";"17000";"5";"0";"1"
"556";"https://pesaschile.cl/clon/2/img/p/1/4/2/7/1427.jpg";"PAR DISCO PREOLIMPICO ENGOMADO 2,5 KG";"DPE025";"Productos";"8500";"5";"0";"1"
"555";"https://pesaschile.cl/clon/2/img/p/1/4/2/6/1426.jpg";"PAR DISCO PREOLIMPICO ENGOMADO 1,25 KG";"DPE0125";"Productos";"4250";"5";"0";"1"
"554";"https://pesaschile.cl/clon/2/img/p/1/4/2/5/1425.jpg";"Barra PreolÃ­mpica 2,2m";"BPR220";"PreolÃ­mpicos";"24990";"10";"0";"1"
"553";"https://pesaschile.cl/clon/2/img/p/1/4/2/1/1421.jpg";"Coderas McDavid";"";"Equipamiento";"16990";"4";"0";"1"
"552";"https://pesaschile.cl/clon/2/img/p/1/4/1/9/1419.jpg";"Pack Smith Machine + banquillo + Engomados Color";"PSBEC";"Equipamiento";"789990";"8";"0";"1"
"551";"https://pesaschile.cl/clon/2/img/p/1/7/2/9/1729.jpg";"Power Pro Pack Engomado";"PPPEC";"Equipamiento";"499990";"8";"0";"1"
"550";"https://pesaschile.cl/clon/2/img/p/1/4/1/7/1417.jpg";"Pack OlÃ­mpico Engomados con Barra";"PEBC";"Pack y Promociones";"199990";"19";"0";"1"
"549";"https://pesaschile.cl/clon/2/img/p/1/6/6/2/1662.jpg";"Trotadora Obelix GT7";"TGT7";"Maquinas y equipamiento";"1699990";"0";"1";"1"
"546";"https://pesaschile.cl/clon/2/img/p/1/3/9/6/1396.jpg";"TOBILLERA PARA POLEA";"TP";"Accesorios";"9990";"188";"0";"1"
"545";"https://pesaschile.cl/clon/2/img/p/1/4/0/1/1401.jpg";"PAR PESO MUÃ‘/TOB 2.5 KG PROMACHINE";"PM025P";"Productos";"9990";"13";"0";"1"
"544";"https://pesaschile.cl/clon/2/img/p/1/3/9/7/1397.jpg";"PAR PESO MUÃ‘/TOB 1.5 KG PROMACHINE";"PM015P";"Productos";"6990";"15";"0";"1"
